,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
835,0.102,0.083475,0.737649,2014,1.0,0.008,0.0,0.008,0.642,0.554,0.328,22K555,0.045997,22.0,15.0,0.0,0.001704,587.0,3.127316,2.888628,0.993,0.097104,0.37055015564,0.898,0.741100311279,0.0,78.0,86.0,506.0,0.949,499.0,1492.0,487.0,General Academic,0.94,0.011925,0.96,0.976,0.0,0.037479,11218.0,
836,,0.141176,0.4,2014,,,,,,,,22K611,0.141176,,,,0.141176,85.0,2.425,2.260702,,0.235294,0.505882382393,,0.847058832645,,73.0,,,,,,,,,0.082353,0.887,0.978,,0.2,11235.0,420.0
837,0.161,0.008696,0.863768,2014,0.115,0.022,0.022,0.078,0.161,0.111,0.167,23K493,0.255072,23.0,23.0,0.0348837,0.04058,345.0,2.2428,2.078423,0.563,0.110145,0.583979308605,0.4,0.857881128788,0.0,64.0,63.0,389.0,0.563,379.0,1152.0,384.0,General Academic,0.8,0.13913,0.823,0.967,0.0,0.008696,11233.0,375.0
838,0.011,0.003049,0.856707,2014,0.366,0.095,0.095,0.048,0.172,0.071,0.06,23K514,0.271341,23.0,23.0,0.076086957,0.018293,328.0,2.280747,2.131312,0.527,0.128049,0.515243887901,0.369,0.850609779358,0.0,61.0,68.0,383.0,0.527,380.0,1126.0,363.0,General Academic,0.76,0.131098,0.814,0.952,0.0,0.009146,11212.0,385.0
839,,0.0,0.871681,2014,,,,,,,,23K644,0.238938,,,,0.022124,226.0,2.281789,2.055688,,0.10177,1.0,,0.77192980051,,63.0,73.0,,,,,,,,0.10177,0.88,0.966,,0.013274,11233.0,540.0
840,0.021,0.0,0.838798,2014,0.33,0.021,0.052,0.01,0.234,0.209,0.177,23K697,0.204918,23.0,23.0,0.126315789,0.021858,366.0,2.341927,2.182145,0.67,0.147541,0.360262006521,0.469,0.796943247318,0.0,65.0,72.0,414.0,0.553,397.0,1212.0,401.0,General Academic,0.8,0.112022,0.814,0.945,0.0,0.005464,11212.0,380.0
841,,0.16,0.04,2014,,,,,,,,24Q236,0.02,,,,0.96,50.0,1.790442,2.116589,,0.72,0.77999997139,,1.0,,57.0,,,,,,,,,0.0,0.924,0.99,,0.08,11373.0,420.0
842,0.06,0.186296,0.087794,2014,0.828,0.046,0.065,0.019,0.638,0.388,0.213,24Q264,0.14561,24.0,24.0,0.0086957,0.066381,467.0,2.728656,2.76615,0.905,0.571734,0.477516055107,0.731,0.80942183733,0.0,77.0,81.0,495.0,0.836,455.0,1415.0,465.0,General Academic,0.92,0.025696,0.934,0.959,0.0,0.134904,11101.0,420.0
843,0.01,0.154394,0.12114,2014,0.324,0.012,0.035,0.0,0.284,0.376,0.094,24Q267,0.180523,24.0,24.0,0.08,0.099762,421.0,2.418598,2.390531,0.696,0.581948,0.425178140402,0.518,0.771971523762,0.0,69.0,78.0,416.0,0.578,407.0,1229.0,406.0,General Academic,0.86,0.047506,0.879,0.965,0.0,0.118765,11101.0,420.0
844,0.233,0.07947,0.066225,2014,0.465,0.116,0.098,0.027,0.337,0.429,0.143,24Q293,0.229581,24.0,24.0,0.081395349,0.086093,453.0,2.387215,2.331089,0.802,0.779249,0.423841059208,0.813,0.80573952198,0.0,76.0,78.0,412.0,0.663,396.0,1208.0,400.0,General Academic,0.94,0.04415,0.893,0.965,0.0,0.050773,11373.0,420.0
